target_model,predictor,folded_shapley_r2
gpt2 — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0004262619877945
gpt2 — Raw counts,C(semantic_role),0.0015039566052514
gpt2 — Raw counts,C(syntactic_role),8.280036427574155e-05
gpt2 — Raw counts,C(tense),0.0068755831368979
gpt2 — Raw counts,"C(valence, Treatment(reference='-val'))",0.001352441131141
gpt2 — Raw counts,lex_emb_norm,0.0386013474009791
gpt2 — Raw counts,log_frequency,0.0045047361289977
gpt2 — Raw counts,profession_embedding,0.5065930823741999
gpt2 — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0004262619877945
gpt2 — TF-IDF,C(semantic_role),0.0015039566052514
gpt2 — TF-IDF,C(syntactic_role),8.280036427575865e-05
gpt2 — TF-IDF,C(tense),0.0068755831368979
gpt2 — TF-IDF,"C(valence, Treatment(reference='-val'))",0.001352441131141
gpt2 — TF-IDF,lex_emb_norm,0.0380604218852264
gpt2 — TF-IDF,log_frequency,0.0065790532568487
gpt2 — TF-IDF,profession_embedding,0.604554964171195
gpt2 — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0004262619877945
gpt2 — log(1 + x) counts,C(semantic_role),0.0015039566052514
gpt2 — log(1 + x) counts,C(syntactic_role),8.2800364275734e-05
gpt2 — log(1 + x) counts,C(tense),0.0068755831368979
gpt2 — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.001352441131141
gpt2 — log(1 + x) counts,lex_emb_norm,0.0469984945713869
gpt2 — log(1 + x) counts,log_frequency,0.0131836516794295
gpt2 — log(1 + x) counts,profession_embedding,0.4973973273256746
meta-llama_Llama-3.1-70B — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0006309852672684
meta-llama_Llama-3.1-70B — PPMI,C(semantic_role),5.928419825329945e-05
meta-llama_Llama-3.1-70B — PPMI,C(syntactic_role),0.0008773891569089
meta-llama_Llama-3.1-70B — PPMI,C(tense),0.0185137887747412
meta-llama_Llama-3.1-70B — PPMI,"C(valence, Treatment(reference='-val'))",4.673524188038636e-05
meta-llama_Llama-3.1-70B — PPMI,log_frequency,0.019388242657365
meta-llama_Llama-3.1-70B — PPMI,profession_embedding,0.2854149220127485
meta-llama_Llama-3.1-70B — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0006309852672685
meta-llama_Llama-3.1-70B — Raw counts,C(semantic_role),5.928419825330189e-05
meta-llama_Llama-3.1-70B — Raw counts,C(syntactic_role),0.0008773891569089
meta-llama_Llama-3.1-70B — Raw counts,C(tense),0.0185137887747412
meta-llama_Llama-3.1-70B — Raw counts,"C(valence, Treatment(reference='-val'))",4.673524188044032e-05
meta-llama_Llama-3.1-70B — Raw counts,lex_emb_norm,0.0031318953009787
meta-llama_Llama-3.1-70B — Raw counts,profession_embedding,0.5101982015210262
meta-llama_Llama-3.1-70B — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0006309852672684
meta-llama_Llama-3.1-70B — TF-IDF,C(semantic_role),5.928419825331344e-05
meta-llama_Llama-3.1-70B — TF-IDF,C(syntactic_role),0.0008773891569089
meta-llama_Llama-3.1-70B — TF-IDF,C(tense),0.0185137887747412
