target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-6.9b-deduped — PPMI,C(tense),0.0026311513221792,0.0066119700357087
EleutherAI_pythia-6.9b-deduped — PPMI,C(syntactic_role),0.0011487498212808,0.0028867588621029
EleutherAI_pythia-6.9b-deduped — PPMI,"C(valence, Treatment(reference='-val'))",0.0008780446355208,0.0022064883806341
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_2,0.0003073153244765,0.000772270184472
EleutherAI_pythia-6.9b-deduped — PPMI,C(semantic_role),8.292639094498178e-05,0.0002083904515394
EleutherAI_pythia-6.9b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",5.706123244497707e-05,0.0001433924213884
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_9,0.2382981726874913,0.4835841196374449
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_2,0.1647994236905563,0.3344313694199774
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_8,0.0368584727301213,0.074797770731341
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_4,0.0265603270001432,0.053899499961718
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_6,0.0097566609071909,0.0197994228079646
EleutherAI_pythia-6.9b-deduped — Raw counts,C(tense),0.0026311513221793,0.0053394576274726
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_5,0.0022682357519934,0.0046029844748175
EleutherAI_pythia-6.9b-deduped — Raw counts,lex_emb_norm,0.002152063779009,0.0043672339415732
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_3,0.0021316439788153,0.0043257955579363
EleutherAI_pythia-6.9b-deduped — Raw counts,log_frequency,0.0019268681070885,0.0039102390367292
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_10,0.0013410114351037,0.002721346231718
EleutherAI_pythia-6.9b-deduped — Raw counts,C(syntactic_role),0.0011487498212808,0.0023311851901453
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_1,0.0011051913167468,0.0022427908863608
EleutherAI_pythia-6.9b-deduped — Raw counts,"C(valence, Treatment(reference='-val'))",0.0008780446355212,0.0017818367521757
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_7,0.0007790120318473,0.001580867546567
EleutherAI_pythia-6.9b-deduped — Raw counts,C(semantic_role),8.292639094498178e-05,0.0001682844870675
EleutherAI_pythia-6.9b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",5.7061232445088095e-05,0.00011579570899
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_2,0.2343340535461501,0.503029058775514
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_9,0.0613921028596584,0.1317862736994885
EleutherAI_pythia-6.9b-deduped — TF-IDF,lex_emb_norm,0.0452109737447444,0.0970513385698095
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_10,0.0431099351975886,0.0925411812673041
EleutherAI_pythia-6.9b-deduped — TF-IDF,log_frequency,0.035404471544797,0.0760003837603411
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_3,0.0185028142996871,0.0397187396412136
