target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
allenai_Olmo-3-1025-7B — log(1 + x) counts,C(syntactic_role),0.0044236761910724,5.5117848178774175e-18,0.0081554218540401,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — log(1 + x) counts,C(tense),0.0038524321709858,6.7182456771252474e-18,0.0071022851043824,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — log(1 + x) counts,lex_emb_norm,0.0035409261911091,4.4293509923090885e-05,0.0065279974381472,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0023133814603697,5.6282134316832884e-18,0.0042649147233483,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — log(1 + x) counts,C(semantic_role),0.0002499754775863,6.0086128775949e-18,0.0004608509720933,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0001717274099725,6.331793026559322e-18,0.0003165940298826,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — PPMI,profession_embedding,0.3033371490909525,0.0007854669935727,0.9078758585712676,500,0,0.0,0.3341174305133709
allenai_Olmo-3-1025-7B — PPMI,log_frequency,0.0173476001088331,0.0008115333049603,0.0519206677789259,500,0,0.0,0.3341174305133709
allenai_Olmo-3-1025-7B — PPMI,C(syntactic_role),0.0044236761910724,6.3015490355462595e-18,0.0132398845049044,500,0,0.0,0.3341174305133709
allenai_Olmo-3-1025-7B — PPMI,C(tense),0.0038524321709859,6.6420815233257465e-18,0.0115301741817739,500,0,0.0,0.3341174305133709
allenai_Olmo-3-1025-7B — PPMI,lex_emb_norm,0.0024214886035967,9.201217931801112e-05,0.007247417771279,500,0,0.0,0.3341174305133709
