target_model,model_name,runs,mean_aic,mean_bic,mean_R2c,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance,converged_rate
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_syntactic_role_,1,4654.852677175848,4906.927884215984,0.922600496099515,0.0053649876007122,0.0191334567905112,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_tense_C_syntactic_role_,1,4655.953276503031,4914.841326976684,0.9226107888114119,0.0053651195862867,0.0191334366091193,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_valence_C_dominance_,1,4737.4741546329315,4982.736518239551,0.9216205431346363,0.0053526072001809,0.0191320998814024,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_valence_C_dominance_,1,4738.479469379832,4976.928989552934,0.9215673068281135,0.005350200103013,0.0191279346874493,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_valence_C_dominance_,1,4741.352990554049,5020.679571328254,0.9216752464436002,0.005351252045446,0.0191226790434679,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_valence_C_dominance_,1,4742.464108743909,5028.603532951631,0.9216929911898492,0.0053570481016824,0.0191228169457699,,,1.0
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,1,2194.2018635791173,2466.715600919805,0.920353796411452,0.0044378060778542,0.030552589068522,,,1.0
he_she_odds_results__gpt2__54292870,selected_mixed,1,2194.488407986275,2432.937928159377,0.9203050721465316,0.00443971436483,0.0305212415589706,,,1.0
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__3__C_tense_C_semantic_role_,1,2194.488407986275,2432.937928159377,0.9203050721465316,0.00443971436483,0.0305212415589706,,,1.0
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__1__C_syntactic_role_C_dominance_,1,2194.5892011299075,2473.9157819041125,0.9203238035034034,0.0044378465408514,0.0305468651813613,,,1.0
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_tense_C_semantic_role_,1,2194.8782215142855,2440.1405851209047,0.9203244147656083,0.0044399052586223,0.0305327901329523,,,1.0
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__1__C_dominance_C_semantic_role_,1,2195.360047501381,2474.686628275586,0.9203357821694352,0.0044377860077219,0.0305493460915778,,,1.0
