target_model,model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
allenai_Olmo-3-1025-7B,Human-Perception Model,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0012475515134428,8.800759788671178e-05,0.002314408511008,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,C(syntactic_role),0.0010882243430038,8.528767652777267e-05,0.0020188310095377,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,C(tense),0.0009862226357724,7.52646729014521e-05,0.0018296014532349,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,"C(valence, Treatment(reference='-val'))",0.0006616270976657,4.679819475331829e-05,0.0012274245748179,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,"C(dominance, Treatment(reference='-dom'))",5.6670045290941886e-05,3.614795378217144e-06,0.000105132039621,500,0,0.539036867307183
allenai_Olmo-3-1125-32B,World-Knowledge Model,male_perc:C(semantic_role),0.1456503287910253,0.0105372683379273,0.275095357015898,500,0,0.5294539696015591
allenai_Olmo-3-1125-32B,World-Knowledge Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1320204938367591,0.0102071583349832,0.2493521654698543,500,0,0.5294539696015591
allenai_Olmo-3-1125-32B,World-Knowledge Model,male_perc,0.1263763273708183,0.0100673839633106,0.2386918119925003,500,0,0.5294539696015591
allenai_Olmo-3-1125-32B,World-Knowledge Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1232570315585527,0.0099799078024147,0.2328002784667189,500,0,0.5294539696015591
allenai_Olmo-3-1125-32B,World-Knowledge Model,"C(dominance, Treatment(reference='-dom'))",0.0010756725149543,3.918914672340253e-18,0.0020316638966063,500,0,0.5294539696015591
allenai_Olmo-3-1125-32B,World-Knowledge Model,"C(valence, Treatment(reference='-val'))",0.0010741155294498,3.5044839032542945e-18,0.0020287231584234,500,0,0.5294539696015591
allenai_Olmo-3-1125-32B,Human-Perception Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1769669706911505,0.0111341711804985,0.3104626072387863,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,male_perc:C(tense),0.1753432943941489,0.0111009843073333,0.3076141052018796,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,male_perc,0.1748205861962987,0.0111009843073334,0.3066970902962401,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,C(syntactic_role),0.0260873531721992,9.722275180708533e-18,0.0457664368111659,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0080289331027471,0.0003132773670539,0.0140855861107268,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,C(tense),0.0071321281346478,0.0003055255686086,0.0125122732631744,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,"C(valence, Treatment(reference='-val'))",0.0010741155294498,4.2204400359080525e-18,0.0018843782342336,500,0,0.5700105795833886
allenai_Olmo-3-1125-32B,Human-Perception Model,"C(dominance, Treatment(reference='-dom'))",0.0005571983627463,2.4061250695742024e-05,0.0009775228437928,500,0,0.5700105795833886
google_gemma-3-12b-pt,World-Knowledge Model,male_perc,0.1454175166332062,0.0107039974972332,0.2695619352956676,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1359999574014228,0.0104677599827592,0.2521045095944407,500,0,0.5394586460202766
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(semantic_role),0.1303680683603479,0.0103263055760721,0.2416646193774189,500,0,0.5394586460202766
